gene,Deng:KeloidC3_MFB_vs_NSfib,Direder:Keloid_vs_Healthy,Direder:Keloid_vs_NormalScar,Direder:NormalScar_vs_Healthy,Wound:D7_vs_Skin,Wound:D30_vs_Skin,Wound:D7_FBI_vs_Skin
A1BG,2.6103806,2.0967429,1.0187241,1.0780188,,1.7474867,
A1BG-AS1,1.1172605,,,,,,
A1CF,18.890675,,,,,,
A2M,-0.7039846,0.62730205,,0.30554354,,,
A2M-AS1,-1.170206,,,,,,
A2ML1,0.0,,,,,,
A2ML1-AS1,0.0,,,,,,
A2ML1-AS2,0.0,,,,,,
A3GALT2,0.0,,,,,,
A4GALT,-0.9190456,,,,,,
A4GNT,-17.076502,,,,,,
AAAS,0.40923098,,,,,,
AACS,0.038642634,,,,,,
AADAC,-22.837091,,,6.036648,,,
AADACL2,-22.0472,,,1.622491,,,
AADACL2-AS1,-18.663929,,,3.307003,,,
AADACL3,0.0,,,,,,
AADACL4,-17.636574,,,,,,
AADAT,0.24630712,,,,,,
AAED1,-0.12135242,27.124655,,27.218576,,,
AAGAB,0.93776786,,,,,,
AAK1,1.1336901,,,,,,
AAMDC,0.12082553,,0.568605,,,0.57515085,
AAMP,-0.026718091,,,,,,
AANAT,-1.441763,,,,,,
AAR2,0.53650767,,,,,,
AARD,0.69697815,,,,,,
AARS,1.0013235,,,,,,
AARS2,0.6224071,,,,,,
AARSD1,1.0102005,,,,,1.2011139,0.8577073
AASDH,-0.1302771,,,,,,
AASDHPPT,0.4045201,,,,,,
AASS,-1.254867,,,,,,
AATBC,-0.6848485,,,,,,
AATF,-0.14741619,,,,,,
AATK,-20.96221,,,,,,
AB015752.1,0.0,,,,,,
ABALON,-19.010836,,,,,,
ABAT,-0.27497983,,,,,,
ABCA1,-0.680419,,,0.54455626,,,
ABCA10,-4.2859573,,,1.0570283,,,
ABCA12,-0.043034684,,,,,,
ABCA13,1.1714253,,,,,,
ABCA2,-0.13373956,,,,,,
ABCA3,-1.3037761,,,,,,
ABCA4,-19.462915,,,,,,
ABCA5,-1.7288363,,,,,,
ABCA6,-3.9052384,,,0.9143533,,,
ABCA7,-0.44984698,,,,,,
ABCA8,-5.317244,,,0.442415,,,
ABCA9,-4.770649,,,1.0808289,,,
ABCA9-AS1,0.0,,,,,,
ABCB1,1.7455078,,,,,,
ABCB10,0.19283213,,,,,,
ABCB11,-20.86123,,,,,,
ABCB4,-0.77128613,,,,,,
ABCB5,-4.831414,,,1.174368,,,
ABCB6,-0.15426545,,,,,,
ABCB7,-0.40442657,,,,,,
ABCB8,1.3150092,,,,1.8988914,1.9360987,2.079943
ABCB9,0.64267826,,,,,,
ABCC1,1.016328,,,,,,
ABCC10,0.65024465,,,,,,
ABCC11,4.266965,,,,,,
ABCC12,-16.228298,,,,,,
ABCC2,-2.3704517,,,,,,
ABCC3,-3.1694357,,,,,,
ABCC4,2.5382316,,,,,2.3071415,2.2255313
ABCC5,0.7355444,,,0.69984686,,,
ABCC5-AS1,0.0,,,,,,
ABCC6,0.116559505,,,,,,
ABCC8,-19.889149,,,,,,
ABCC9,-2.6681662,,,1.5136346,,,
ABCD1,0.23711896,,,,,,
ABCD2,-1.8534975,,,,,,
ABCD3,0.430608,,,,,,
ABCD4,-0.2199515,,,0.14933437,,,
ABCE1,0.7349575,,,,0.83377194,0.6446035,
ABCF1,0.27727163,,,,,,
ABCF2,-4.09184,,,,,,
ABCF2-1,0.5467592,24.633667,,23.950745,,,
ABCF3,0.500762,,,,,,
ABCG1,0.66264564,,,,,,
ABCG2,-0.2997934,,,,,,
ABCG4,0.0,,,,,,
ABCG5,-19.692995,,,,,,
ABCG8,-0.91936177,,,,,,
ABHD1,-1.4400359,,,,,,
ABHD10,1.1468426,1.0113995,,,,,
ABHD11,0.19384263,,,,,,
ABHD12,0.7678638,0.60655105,,,1.1565448,,1.0888708
ABHD12B,1.911075,,,,,,
ABHD13,0.43035358,,,,,,
ABHD14A,-1.0270226,,0.63672346,,,,
ABHD14A-ACY1,0.29102856,,,,,,
ABHD14B,-0.49457353,,,,,,
ABHD15,1.2623432,,,,,,
ABHD15-AS1,-16.956951,,,,,,
ABHD16A,-0.26294622,,,,,,
ABHD16B,0.0,,,,,,
ABHD17A,0.20248286,,0.7853263,,0.9380442,,1.0579324
ABHD17B,-0.041765366,,,0.36379498,,,
ABHD17C,1.1972647,,,,,,
ABHD18,-0.3462655,,,,,,
ABHD2,1.668959,,,,,,
ABHD3,-0.20480892,,,0.41508585,,,
ABHD4,0.3147409,,,,,,
ABHD5,-1.012831,,,,,,
ABHD6,-1.2909758,,,,,,
ABHD8,-1.3464786,,,,,,
ABI1,0.6546239,,,,,,
ABI2,-0.15898088,,,,,,
ABI3,-0.7088352,,,,,,
ABI3BP,-1.2302953,,,,,,
ABL1,-0.16957487,,,,,,
ABL2,0.5685444,,,,,,
ABLIM1,-2.5674713,,,,,,
ABLIM2,0.09733723,,,,,,
ABLIM3,-0.23784323,,,,,,
ABO,-1.5531765,,,,,,
ABR,0.17546879,,,,,,
ABRA,17.95421,,,,,,
ABRACL,2.8022187,1.3543814,1.867343,,2.5076995,2.7071228,2.822769
ABRAXAS1,-0.774097,,,,,,
ABRAXAS2,0.6522666,,,,,,
ABT1,0.5305698,,,,,1.1444209,
ABTB1,-0.78378594,,,,,,
ABTB2,-1.8901168,,,,,,
AC000032.1,-19.402317,,,,,,
AC000035.1,0.0,,,,,,
AC000036.1,-16.770527,,,,,,
AC000058.1,0.0,,,,,,
AC000061.1,0.0,,,,,,
AC000067.1,-16.61347,,,,,,
AC000068.1,-0.503884,,,,,,
AC000068.2,-19.178389,,,,,,
AC000068.3,-18.303656,,,,,,
AC000093.1,-2.3210008,,,,,,
AC000099.1,0.0,,,,,,
AC000123.1,0.0,,,,,,
AC000124.1,0.0,,,,,,
AC000372.1,0.0,,,,,,
AC000403.1,0.5771363,,,,,,
AC001226.1,-0.60680646,,,,,,
AC001226.2,1.1242759,,,,,,
AC002056.2,0.0,,,,,,
AC002064.1,0.3785462,,,,,,
AC002064.2,0.0,,,,,,
AC002066.1,0.47691953,,,,,,
AC002070.1,1.5072321,,,,,,
AC002074.1,1.0885504,,,,,,
AC002076.1,0.0,,,,,,
AC002091.1,0.0,,,,,,
AC002091.2,0.0,,,,,,
AC002094.2,0.0,,,,,,
AC002094.3,0.0,,,,,,
AC002101.1,0.0,,,,,,
AC002115.1,0.0,,,,,,
AC002116.2,1.150739,,,,,,
AC002127.2,0.0,,,,,,
AC002128.2,0.0,,,,,,
AC002306.1,-18.053486,,,,,,
AC002310.1,-0.7543409,,,,,,
AC002310.2,0.74858934,,,,,,
AC002310.4,0.0,,,,,,
AC002310.5,0.0,,,,,,
AC002347.1,-16.486359,,,,,,
AC002347.2,0.0,,,,,,
AC002351.1,0.0,,,,,,
AC002368.1,0.0,,,,,,
AC002375.1,-19.120287,,,,,,
AC002378.1,-16.512308,,,,,,
AC002383.1,0.0,,,,,,
AC002384.1,18.174849,,,,,,
AC002386.1,-16.56938,,,,,,
AC002398.1,0.0,,,,,,
AC002398.2,-2.1225886,,,,,,
AC002401.1,0.0,,,,,,
AC002401.2,0.0,,,,,,
AC002401.3,-17.013393,,,,,,
AC002401.4,19.596327,,,,,,
