gene,score,logfc,pval,padj,pct_grp,pct_ref,delta_pct
COL1A1,69.27261,4.2041273,0.0,0.0,0.9660712922677658,0.7706685837526959,0.1954027085150699
SPARC,69.10628,3.8941503,0.0,0.0,0.9438974124112663,0.6146657081236521,0.3292317042876143
COL1A2,67.682526,3.6236918,0.0,0.0,0.9581711319746584,0.7907979870596693,0.1673731449149891
COL3A1,67.22653,3.653223,0.0,0.0,0.9547362796733074,0.7232207045291158,0.23151557514419163
SFRP2,59.873634,3.7221916,0.0,0.0,0.8486375085871307,0.40115025161754136,0.44748725696958935
CTHRC1,59.549812,4.040203,0.0,0.0,0.8270361041141897,0.2426312005751258,0.5844049035390639
LUM,53.8371,2.906132,0.0,0.0,0.8247843676055263,0.44572250179726813,0.3790618658082582
POSTN,52.843258,3.9597528,0.0,0.0,0.7489122967712388,0.22573687994248742,0.5231754168287515
COL5A2,52.83827,3.251045,0.0,0.0,0.7467368903137165,0.2882818116462976,0.45845507866741886
ASPN,52.673447,5.407273,0.0,0.0,0.645485077475002,0.06865564342199856,0.5768294340530034
HTRA1,50.17735,2.825151,0.0,0.0,0.7686054499656515,0.37167505391804456,0.39693039604760694
COL14A1,48.696682,3.1793363,0.0,0.0,0.7059766430043508,0.2393961179007908,0.46658052510356
RPS26,48.302177,2.3122225,0.0,0.0,0.7816578887107855,0.4554277498202732,0.3262301388905123
MDK,47.340595,4.6739345,0.0,0.0,0.589840470193115,0.0682961897915169,0.5215442804015982
PPIB,47.04316,1.9646019,0.0,0.0,0.8448973360812152,0.6132278936017254,0.23166944247948984
SERF2,45.967888,1.5943432,0.0,0.0,0.8903518815357606,0.7275341480948958,0.1628177334408648
PCOLCE,45.37542,2.4419549,0.0,0.0,0.7425005724753836,0.37526959022286127,0.3672309822525223
COL5A1,45.33613,2.8753881,0.0,0.0,0.6789939699259598,0.2588066139468009,0.42018735597915896
SEPT7,44.606823,30.957558,0.0,0.0,0.5135485840775513,0.0,0.5135485840775513
FN1,44.170635,2.512969,0.0,0.0,0.7427677276543775,0.42810927390366643,0.31465845375071105
CYR61,42.10399,31.1046,0.0,0.0,0.4847339897717731,0.0,0.4847339897717731
LGALS1,41.95515,1.2486976,0.0,0.0,0.9177925349209984,0.8526240115025162,0.06516852341848223
CTGF,41.60342,31.178246,0.0,0.0,0.4789710709106175,0.0,0.4789710709106175
PRDX4,40.06637,2.54245,0.0,0.0,0.6448362720403022,0.2861250898634076,0.3587111821768946
BGN,38.785915,2.820643,0.0,0.0,0.5871689184031753,0.19662113587347232,0.390547782529703
DPT,38.60746,2.249648,0.0,0.0,0.6755209525990382,0.37634795111430625,0.29917300148473197
PPIC,37.83133,2.2457302,0.0,0.0,0.6525837722311274,0.3033788641265277,0.3492049081045997
MARCKS,37.306793,1.9261286,1.2734764485615545e-304,6.505995256247357e-302,0.7187237615449202,0.42559309849029475,0.2931306630546255
PRSS23,36.485394,3.3321512,1.890477709635565e-291,8.512276412572612e-289,0.5057629188611557,0.11322789360172537,0.3925350252594303
THY1,36.281834,2.7533185,3.1297417796294718e-288,1.3857453352939424e-285,0.5454163804289749,0.1768511861969806,0.3685651942319943
SEPT11,35.676178,30.39556,9.257146475462092e-279,3.966537955921387e-276,0.41073200519044345,0.0,0.41073200519044345
COL6A3,34.906,1.5648984,6.029063276796838e-267,2.3554131619321294e-264,0.7912373101289978,0.5945363048166786,0.19670100531231915
COMP,34.52217,4.6172857,3.7299398296507858e-261,1.436080891514533e-258,0.42992901305243875,0.037742631200575125,0.3921863818518636
OGN,33.95459,2.8594644,1.0435739018932718e-252,3.9605120396709514e-250,0.5033966872757805,0.1387491013659238,0.3646475859098567
COL6A1,33.602077,1.1899085,1.5642345256404506e-247,5.6156019470492176e-245,0.9042821158690176,0.8102084831056794,0.09407363276333824
PTN,33.417866,2.5292487,7.543861277687498e-245,2.6369765618821854e-242,0.548927562781467,0.21567217828900073,0.3332553844924663
OST4,32.45799,1.724814,4.178253478811572e-231,1.3703639742976325e-228,0.6452560873215785,0.3860531991373113,0.2592028881842672
ACTB,32.160515,1.1053634,6.29598615145878e-227,1.991180572614928e-224,0.8492099839706893,0.7462257368799425,0.10298424709074672
TIMP1,32.080948,1.4155725,8.130034913005898e-226,2.5409706764578198e-223,0.8058926799480955,0.6189791516894321,0.18691352825866347
AEBP1,31.342432,1.6406133,1.2336948655666833e-215,3.641593088738279e-213,0.6638806198000152,0.41301222142343635,0.25086839837657887
SEC61G,30.995768,1.547829,6.147155327417649e-211,1.7945640486612886e-208,0.675368292496756,0.4518332135154565,0.22353507898129948
OSTC,30.918629,1.8549235,6.712010100008773e-210,1.938165873009055e-207,0.5908327608579498,0.31164629762760604,0.27918646323034374
FTL,30.78002,0.6391453,4.850858025402009e-208,1.3856762828261266e-205,0.9713762308220747,0.9654924514737598,0.005883779348314855
COL6A2,30.373533,0.971974,1.2287264103290397e-202,3.3651902903918834e-200,0.8484848484848485,0.7893601725377426,0.05912467594710591
COPZ2,29.545876,2.4226363,7.419356225441227e-192,1.9136176454861322e-189,0.468704679032135,0.16103522645578722,0.30766945257634776
KDELR2,29.000462,1.8368204,6.491822571789801e-185,1.5968681337237765e-182,0.5517136096481184,0.2807332854061826,0.27098032424193585
TPM2,28.881073,2.3890843,2.06412821885938e-183,5.030791767175989e-181,0.46851385390428213,0.16139468008626887,0.30711917381801324
FAP,28.448076,2.8605964,5.147687903898494e-178,1.2320133049997063e-175,0.41214411113655447,0.101725377426312,0.3104187337102425
P4HB,28.188923,2.127984,7.994330785010716e-175,1.8629595757420588e-172,0.4854972902831845,0.19769949676491733,0.2877977935182672
SERPINH1,27.838808,1.7652707,1.4716068759708751e-170,3.3414280570121597e-168,0.5453782154034044,0.2800143781452193,0.2653638372581851
TAGLN,27.585363,3.5552661,1.6672463257699806e-167,3.691005490867109e-165,0.3674910312189909,0.054996405463695185,0.31249462575529574
SPON2,27.551474,2.504994,4.249053968410634e-167,9.328956010313796e-165,0.42790626669719867,0.12688713156002876,0.30101913513716994
FKBP2,27.037558,4.345856,5.3498368046012955e-161,1.136990116408304e-158,0.3352415846118617,0.02695902228612509,0.30828256232573664
RPL28,26.728146,0.5718406,2.216811375300235e-157,4.673953253668734e-155,0.8919166475841539,0.8813803019410497,0.010536345643104239
MINOS1,26.6726,29.624662,9.788879744192803e-157,2.0316514006580158e-154,0.30707579574078314,0.0,0.30707579574078314
ADAM12,26.652208,5.0397463,1.6872258568932493e-156,3.4746389235834156e-154,0.32134951530417527,0.01653486700215672,0.30481464830201854
MMP23B,25.641203,2.4878316,5.299949963507335e-145,1.035282873018646e-142,0.39764140141973897,0.12365204888569374,0.2739893525340452
CLEC11A,25.39295,2.040418,3.0171211790289526e-142,5.766391456264975e-140,0.4450041981528128,0.17541337167505391,0.2695908264777589
SFRP4,25.233759,4.594727,1.7076013496496093e-140,3.194657567238839e-138,0.3114266086558278,0.02372393961179008,0.2877026690440377
SEPT2,24.683592,29.426052,1.6047946372726025e-134,2.8612734452204e-132,0.28417678039844285,0.0,0.28417678039844285
MFAP4,24.436543,1.5008711,6.996259655603742e-132,1.2147884575867256e-129,0.548584077551332,0.3177570093457944,0.2308270682055376
RARRES2,24.245,1.5937753,7.465685221823946e-130,1.2713679077113779e-127,0.5354934737806274,0.293314162473041,0.2421793113075864
FOS,24.019686,1.2705586,1.7319909496784502e-127,2.9121564284277027e-125,0.7533776047629952,0.5859094176851186,0.16746818707787658
CALD1,23.904861,0.8995721,2.7262152446492284e-126,4.4984244838106465e-124,0.7586062132661628,0.6581595974119339,0.10044661585422898
WISP2,23.904564,29.779675,2.745732490422379e-126,4.502662304972896e-124,0.2752079993893596,0.0,0.2752079993893596
C8orf59,23.854837,29.348724,9.02091667453684e-126,1.4702433888082557e-123,0.2746355240058011,0.0,0.2746355240058011
C19orf70,23.821688,29.362576,1.9909029911974057e-125,3.22502005269209e-123,0.2742538737500954,0.0,0.2742538737500954
CD99,23.738749,0.97993654,1.435874730899204e-124,2.3118453394586818e-122,0.7387985649950386,0.6067577282530554,0.1320408367419832
