gene,score,logfc,pval,padj,pct_grp,pct_ref,delta_pct
RPS26,36.615078,1.9943764,1.646139264857419e-293,3.6442779758501825e-290,0.7040898155573376,0.4554277498202732,0.24866206573706445
FOS,33.08455,1.926595,4.957985634340067e-240,6.932307703256749e-237,0.7843968381257876,0.5859094176851186,0.19848742044066903
EGR1,31.451551,2.2308066,3.99751642060933e-217,3.933260045552128e-214,0.6112956810631229,0.3465132997843278,0.2647823812787951
CYR61,30.229225,30.702576,9.785148812996777e-201,8.665075445535746e-198,0.3799977087868026,0.0,0.3799977087868026
LUM,29.584892,1.7880192,2.3378589877348066e-192,1.8266929961224376e-189,0.65391224653454,0.44572250179726813,0.20818974473727192
SEPT7,27.221796,30.210102,3.586318722069101e-163,2.5072142939602037e-160,0.34219269102990035,0.0,0.34219269102990035
COL1A2,26.839495,1.3859286,1.1187059413582e-158,7.429885509530486e-156,0.8334288005498912,0.7907979870596693,0.04263081349022191
JUNB,26.830475,1.2812073,1.4254919988179727e-158,9.236492790389821e-156,0.7305533279871692,0.6146657081236521,0.11588761986351714
FOSB,26.1697,1.7096063,5.882012360310782e-151,3.633989310791075e-148,0.6056822087295223,0.405823148813803,0.19985905991571928
CTGF,25.863895,30.308208,1.6977835882563457e-147,1.0022959734581796e-144,0.3251231527093596,0.0,0.3251231527093596
ZFP36,25.13775,1.162513,1.9238634962073954e-139,1.0430481151070544e-136,0.7895520678199106,0.7070452911574406,0.08250677666246997
DUSP1,24.970142,1.3865386,1.2905926896760978e-137,6.722722626261807e-135,0.6562034597319281,0.514018691588785,0.14218476814314307
WISP2,24.88876,30.326424,9.846978841341418e-137,4.844348887019928e-134,0.3128651621033337,0.0,0.3128651621033337
RPS27,23.562452,0.46673384,9.35732266698441e-123,3.945819586842982e-120,0.9317218467178371,0.9450035945363048,-0.013281747818467693
ZFP36L1,22.473877,0.87522405,7.477241981586574e-112,2.964782246012372e-109,0.7492267155458815,0.7113587347232208,0.03786798082266074
COL14A1,22.461304,1.9936138,9.92344577266737e-112,3.8768567705394316e-109,0.4553786229808684,0.2393961179007908,0.2159825050800776
HNRNPH1,22.23579,2.0129976,1.5481857213027613e-109,5.875585981732737e-107,0.43773628136098064,0.21423436376707405,0.22350191759390658
MT-ND3,21.625963,0.63632864,1.0235657037816765e-103,3.486159805982566e-101,0.8518730667888647,0.8795830337886412,-0.02770996699977657
SFRP2,21.111399,1.531786,6.249449195759739e-99,1.976462706363729e-96,0.5560774430060718,0.40115025161754136,0.1549271913885304
SPARC,21.101833,1.3470918,7.651025383645658e-99,2.3912604746109477e-96,0.677053499828159,0.6146657081236521,0.06238779170450692
COL1A1,20.859161,1.2415975,1.2585710594395154e-96,3.79945440512161e-94,0.7815328216290526,0.7706685837526959,0.010864237876356708
XIST,20.122438,29.827662,4.694064579561378e-90,1.35546216978943e-87,0.2529499369916371,0.0,0.2529499369916371
RPL28,19.668957,0.3586706,3.978868599258231e-86,1.1010689917488976e-83,0.8409898041012717,0.8813803019410497,-0.040390497839777995
COL3A1,18.845491,1.0420299,3.1997693165777846e-79,8.500507166420543e-77,0.7457898957497995,0.7232207045291158,0.022569191220683682
RPL37A,18.61454,0.47548133,2.4495014108815093e-77,6.139005139762091e-75,0.8104021079161416,0.8206326383896477,-0.010230530473506083
MT2A,17.571827,1.0431521,4.049189912705161e-69,8.89014704305168e-67,0.674762286630771,0.6329978432782171,0.041764443352553915
SOCS3,16.84297,1.4220988,1.1815563107172471e-63,2.2911843029572545e-61,0.43956925191889107,0.2850467289719626,0.15452252294692848
ZBTB20,16.782608,1.0900272,3.271446591717872e-63,6.29777175040413e-61,0.5199908351472105,0.41876347951114307,0.10122735563606738
SEPT2,16.276575,29.040981,1.4474820975591809e-59,2.580792577433369e-57,0.20460533852674992,0.0,0.20460533852674992
JUN,16.194613,0.80151427,5.504332303616158e-59,9.683979601183235e-57,0.6688051323175621,0.6232925952552121,0.045512537062350034
RPL23,15.761938,0.50397253,5.686232104945602e-56,9.621684210190119e-54,0.7119945010883263,0.7156721782890008,-0.0036776772006744674
TPT1,15.426254,0.25402936,1.0901580337432592e-53,1.810071145276464e-51,0.9053728949478749,0.9295470884255931,-0.02417419347771821
AL078639.1,15.073603,28.998865,2.4157350259631855e-51,3.866049198779397e-49,0.18948333142398902,0.0,0.18948333142398902
MARCKS,15.004832,0.92800504,6.826304910514749e-51,1.0794500967424692e-48,0.5116279069767442,0.42559309849029475,0.08603480848644945
RPL10A,14.691658,0.62727094,7.290815509954096e-49,1.1131483036634511e-46,0.589872837667545,0.590941768511862,-0.0010689308443170287
RPL13A,14.563556,0.30751112,4.790031850611529e-48,7.148987985581228e-46,0.7830221102073548,0.818116462976276,-0.035094352768921255
RPS29,14.41246,0.28950983,4.32043478103363e-47,6.341252507897205e-45,0.816244701569481,0.8475916606757729,-0.031346959106291816
RPL37,13.780341,0.2058047,3.346851235001245e-43,4.5596128158483626e-41,0.909382518043304,0.9367361610352265,-0.027353642991922555
OGN,13.610744,1.7375635,3.457062331763974e-42,4.615091352042299e-40,0.29121319738801693,0.1387491013659238,0.15246409602209313
CCDC80,13.596337,0.47334778,4.2099723445679296e-42,5.59210626528958e-40,0.7808454576698362,0.7918763479511143,-0.011030890281278127
C8orf59,13.414959,28.691412,4.942036078678068e-41,6.404396608105442e-39,0.16863329132775806,0.0,0.16863329132775806
SEPT11,13.414959,28.718527,4.942036078678068e-41,6.404396608105442e-39,0.16863329132775806,0.0,0.16863329132775806
MINOS1,13.296485,28.667208,2.4260850307450927e-40,3.083797843386322e-38,0.16714400274945584,0.0,0.16714400274945584
DCN,13.295526,0.4694472,2.4574201787599993e-40,3.1087535461399115e-38,0.9113300492610837,0.8997124370956147,0.011617612165469082
RPS11,12.809552,0.23033875,1.4496861749911245e-37,1.7666221525144132e-35,0.7552984305189598,0.8066139468008627,-0.051315516281902895
CTNNB1,12.79299,1.8243955,1.7943617543567247e-37,2.1667733802836705e-35,0.2592507732844541,0.11394680086268871,0.1453039724217654
KLF4,12.661933,0.89635575,9.61040990079588e-37,1.1448885624418984e-34,0.456409668919693,0.38964773544212794,0.06676193347756504
FBLN1,12.368213,0.6855661,3.883659571519978e-35,4.371750007499988e-33,0.6282506587237943,0.5654205607476636,0.0628300979761307
HSPA1B,12.355771,1.2696699,4.533869013710539e-35,5.0821419501364626e-33,0.35410699965631803,0.23687994248741912,0.11722705716889892
SLC38A2,12.211378,1.0344095,2.702717287154469e-34,2.9669581591134555e-32,0.39890021766525374,0.2972681524083393,0.10163206525691443
MFAP4,11.642887,0.9424397,2.4942818091743555e-31,2.5683368427335633e-29,0.4031389620804216,0.3177570093457944,0.08538195273462723
GADD45B,11.594594,0.7808192,4.389421168061969e-31,4.467791676273344e-29,0.5134608775346546,0.44069015097052483,0.0727707265641298
PTN,11.510048,1.2827188,1.1741368911166792e-30,1.1726361146393121e-28,0.3266124412876618,0.21567217828900073,0.11094026299866108
