gene,score,logfc,pval,padj,pct_grp,pct_ref,delta_pct,secreted,membrane
POSTN,50.909813,7.073833,0.0,0.0,0.9952290076335878,0.21374927787406123,0.7814797297595266,True,False
ASPN,49.487198,5.870217,0.0,0.0,0.9723282442748091,0.24898902368573078,0.7233392205890783,True,False
COL5A2,49.295242,3.343721,0.0,0.0,0.9971374045801527,0.6917966493356441,0.30534075524450854,True,False
MDK,49.10537,3.6316526,0.0,0.0,0.9885496183206107,0.6018197573656846,0.3867298609549261,True,False
FN1,48.938866,3.8693616,0.0,0.0,0.9980916030534351,0.7056614673599075,0.2924301356935276,True,False
COL5A1,48.566975,3.2949488,0.0,0.0,0.9961832061068703,0.6070190641247833,0.38916414198208693,True,False
ADAM12,48.319973,7.5087366,0.0,0.0,0.9293893129770993,0.03119584055459272,0.8981934724225066,True,True
COL3A1,47.18204,3.809632,0.0,0.0,1.0,0.9318313113807047,0.06816868861929526,True,False
LGALS1,46.82533,1.7050588,0.0,0.0,1.0,0.994367417677643,0.0056325823223569715,True,False
HTRA1,45.240475,2.5726147,0.0,0.0,0.9961832061068703,0.830155979202773,0.16602722690409732,True,False
SPARC,45.033714,3.3626347,0.0,0.0,1.0,0.9318313113807047,0.06816868861929526,True,False
BGN,44.605053,3.422065,0.0,0.0,0.9837786259541985,0.5060658578856152,0.4777127680685833,True,False
COL6A1,44.54473,1.9674642,0.0,0.0,1.0,0.9764586943963027,0.02354130560369727,True,False
COL1A2,44.07471,3.077443,0.0,0.0,1.0,0.9888792605430387,0.011120739456961348,True,False
COL1A1,44.032806,3.7162416,0.0,0.0,1.0,0.9835355285961872,0.016464471403812797,True,False
COL6A2,43.607677,1.5939928,0.0,0.0,1.0,0.9955228191796649,0.004477180820335103,True,False
NREP,43.560337,4.052098,0.0,0.0,0.9036259541984732,0.14962449451184287,0.7540014596866303,False,False
CTHRC1,43.293816,3.4510436,0.0,0.0,0.9895038167938931,0.567157712305026,0.4223461044888671,True,False
SPON2,42.45661,3.0142257,0.0,0.0,0.9675572519083969,0.5277296360485269,0.43982761585987007,True,False
SULF2,41.578697,3.6009495,0.0,0.0,0.8912213740458015,0.17114384748700173,0.7200775265587998,True,False
FAP,41.25407,2.901847,0.0,0.0,0.9265267175572519,0.3708838821490468,0.5556428354082051,True,False
COPZ2,41.077614,2.112592,0.0,0.0,0.9799618320610687,0.6861640670132871,0.29379776504778155,False,False
CERCAM,40.828907,2.4837923,0.0,0.0,0.9637404580152672,0.5346620450606586,0.4290784129546086,False,False
EDIL3,40.578873,3.9858742,0.0,0.0,0.8549618320610687,0.11539572501444252,0.7395661070466262,True,False
SEC61G,40.57122,1.8647168,0.0,0.0,0.9742366412213741,0.7697862507221259,0.20445039049924818,False,True
TPM2,40.335747,2.6058357,0.0,0.0,0.9532442748091603,0.5554592720970537,0.3977850027121066,False,False
COL16A1,40.18814,2.7436275,0.0,0.0,0.9484732824427481,0.4039572501444252,0.5445160322983229,True,False
COMP,39.789246,4.952852,0.0,0.0,0.8406488549618321,0.11164067013287117,0.7290081848289609,True,False
MFAP2,39.704372,2.648507,0.0,0.0,0.941793893129771,0.3850375505488157,0.5567563425809553,True,False
