gene,score,logfc,pval,padj,pct_grp,pct_ref,delta_pct
PPIB,62.18089,2.28513,0.0,0.0,0.993932499051953,0.9660780669144982,0.027854432137454865
LUM,62.056515,3.4314167,0.0,0.0,0.9958285930982177,0.8973048327137546,0.09852376038446309
NME2,61.512817,1.8314947,0.0,0.0,0.9946909366704588,0.9716542750929368,0.023036661577522044
SERF2,61.42047,1.8967196,0.0,0.0,0.9979142965491088,0.9879182156133829,0.009996080935725904
MDK,59.847145,4.91546,0.0,0.0,0.9368600682593856,0.31691449814126393,0.6199455701181217
THY1,59.81515,3.2987776,0.0,0.0,0.9806598407281001,0.6189591078066915,0.3617007329214086
CD63,59.801533,1.5049396,0.0,0.0,0.9992415623814941,0.9911710037174721,0.008070558664021954
PCOLCE,59.494835,2.192189,0.0,0.0,0.9963974213120971,0.9261152416356877,0.07028217967640937
COL5A2,59.37011,2.9575546,0.0,0.0,0.9872961698900266,0.8671003717472119,0.12019579814281467
FAP,58.385773,3.6697924,0.0,0.0,0.9307925673113386,0.33178438661710036,0.5990081806942382
OSTC,58.163696,2.4165924,0.0,0.0,0.9726962457337884,0.7574349442379182,0.2152613014958702
RABAC1,58.016582,2.1700711,0.0,0.0,0.9861585134622677,0.8438661710037175,0.14229234245855016
PPIC,57.861015,2.5313082,0.0,0.0,0.981039059537353,0.729089219330855,0.251949840206498
PRDX4,57.688488,3.36352,0.0,0.0,0.9495638983693592,0.5185873605947955,0.4309765377745637
SPARC,57.452103,2.9499223,0.0,0.0,0.9981039059537353,0.9828066914498141,0.015297214503921186
HTRA1,57.124428,3.0738225,0.0,0.0,0.981039059537353,0.7537174721189591,0.22732158741839392
S100A11,57.05596,1.6899681,0.0,0.0,0.997535077739856,0.9697955390334573,0.02773953870639867
COL3A1,57.0024,3.205338,0.0,0.0,0.9994311717861206,0.9893122676579925,0.010118904128128103
VKORC1,56.504654,2.4657948,0.0,0.0,0.9679560106181266,0.695631970260223,0.2723240403579036
ADAM12,56.47492,6.854187,0.0,0.0,0.8466059916571862,0.03531598513011153,0.8112900065270747
COL1A1,56.20321,3.2325654,0.0,0.0,1.0,0.9948884758364313,0.005111524163568748
