gene,score,logfc,pval,padj,pct_grp,pct_ref,delta_pct
PPP1R14B,53.070744,5.4259586,0.0,0.0,0.989841986455982,0.20678438661710039,0.7830575998388816
PPIB,52.02896,2.3997986,0.0,0.0,0.994920993227991,0.9660780669144982,0.028842926313492834
P4HB,51.93187,2.7984128,0.0,0.0,0.9920993227990971,0.8090148698884758,0.18308445291062125
ADAM12,51.83104,6.6762843,0.0,0.0,0.9734762979683973,0.03531598513011153,0.9381603128382858
NME2,51.759373,2.098144,0.0,0.0,0.9966139954853274,0.9716542750929368,0.024959720392390583
LGALS1,51.73855,2.1157823,0.0,0.0,0.9977426636568849,0.9930297397769516,0.004712923879933273
GAPDH,51.51221,2.287182,0.0,0.0,0.9983069977426636,0.9860594795539034,0.012247518188760242
ARPC1B,51.196354,3.0083003,0.0,0.0,0.9864559819413092,0.5952602230483272,0.3911957588929821
CTHRC1,50.689827,4.558163,0.0,0.0,0.9881489841986456,0.33224907063197023,0.6558999135666754
SPHK1,50.599304,5.287615,0.0,0.0,0.9633182844243793,0.09061338289962825,0.872704901524751
MIF,50.559834,2.0476193,0.0,0.0,0.9954853273137697,0.9618959107806692,0.03358941653310055
FKBP11,50.46985,3.619903,0.0,0.0,0.9768623024830699,0.35734200743494426,0.6195202950481257
RCN3,50.429768,2.9109437,0.0,0.0,0.9904063205417607,0.6161710037174721,0.37423531682428857
MAP2K2,50.252827,3.5440247,0.0,0.0,0.9785553047404063,0.25092936802973975,0.7276259367106666
SRM,50.00919,4.090796,0.0,0.0,0.968961625282167,0.1970260223048327,0.7719356029773343
RPS2,49.80226,1.4126568,0.0,0.0,0.9983069977426636,0.9976765799256505,0.000630417817013118
S100A11,49.520412,1.9109862,0.0,0.0,0.9954853273137697,0.9697955390334573,0.02568978828031243
SERF2,49.509373,1.7113574,0.0,0.0,0.9983069977426636,0.9879182156133829,0.010388782129280738
OST4,49.47041,2.0012124,0.0,0.0,0.9892776523702032,0.8880111524163569,0.10126649995384629
ACTG1,49.455982,1.9606042,0.0,0.0,0.9977426636568849,0.9925650557620818,0.005177607894803149
TMSB10,49.39883,1.5750476,0.0,0.0,0.9988713318284425,0.9972118959107806,0.0016594359176618223
PRDX4,49.212616,3.1474721,0.0,0.0,0.9825056433408578,0.5185873605947955,0.4639182827460623
TPM2,49.16819,3.4862773,0.0,0.0,0.9808126410835214,0.591542750929368,0.38926989015415336
