gene,Deng:KeloidC3_MFB_vs_NSfib,Direder:Keloid_vs_Healthy,Direder:Keloid_vs_NormalScar,Direder:NormalScar_vs_Healthy,Wound:D7_vs_Skin,Wound:D30_vs_Skin,Wound:D7_FBI_vs_Skin,mean_keloid_lfc
IGF2-1,3.8121889,27.931599,3.9207568,24.010841,,,,15.871893781665039
WISP1,3.660718,27.010035,2.330807,24.679226,,,,15.335376280578613
DNAH12,5.000487,24.99626,,,,,,14.998373344665527
TMEM215,4.892218,24.719046,,,,,,14.805631819519043
MIAT,4.401496,25.06065,,,,,,14.731072935913087
SLC1A1,3.8343816,24.874382,,22.504797,,,,14.354381809521485
AL139393.2,2.0594797,26.3372,2.283811,24.05339,,,,14.198339932397461
CXorf36,2.764505,25.573483,,24.659363,,,,14.168993756713867
C3orf80,4.067483,24.259367,,,,,,14.16342499456787
SCG2,2.7155983,25.02597,,23.372528,,,,13.870784379492187
SLC24A2,7.3195424,6.131157,,,,,,6.725349660693359
VEPH1,5.712299,4.6156087,,,,,,5.163953846084595
FBN2,5.756295,4.2458463,,,,,,5.001070635757446
KCNMA1,5.054694,4.3825064,3.8528023,,,,,4.718600185272217
EVI2A,5.1968923,3.9868114,,1.7854795,,,,4.591851849729919
LINC01235,4.289129,4.3585286,,,,,,4.323828807022094
ACAN,5.3374743,3.2911077,1.8358728,1.4552348,,,,4.314290977285767
COL9A3,3.6034634,4.7674932,6.2341447,,,,,4.185478323992919
SCX,4.2689185,3.9740472,4.879317,,,,,4.121482841995239
SEMA6B,4.020485,4.1141243,,2.5188234,,,,4.067304649047852
LINC01638,2.624797,5.256592,,4.1964464,,,,3.9406943984375
CILP2,4.587307,3.2856688,4.6690445,,,,,3.936487924972534
THBS4,3.384652,4.485713,2.1536603,2.3320527,,,,3.935182502532959
SLC12A8,2.8751202,4.802201,,4.09797,,,,3.838660497109985
CDKN2A,3.220423,4.2533216,,3.2247036,,,,3.7368723238220216
LUZP2,4.424074,3.0118592,,3.008461,,,,3.7179665892715454
RYR2,4.398238,2.792579,,,,,,3.5954084678115845
EPHB2,2.5018127,4.4494534,1.876305,2.5731483,,,,3.475633026940918
DUOXA1,3.2772396,3.5081089,,,,,,3.3926742271469115
PSD,3.3038907,3.214573,,,,,,3.2592318032470704
TDO2,3.2871566,3.209805,,1.6132653,,,,3.2484808058746335
TNIK,3.7217243,2.7528384,,1.282283,,,,3.237281336592102
ANO1,4.5148954,1.8869283,,0.9498005,,,,3.2009118599655153
GRIN2D,3.4333754,2.4363685,,,,,,2.934871932711792
CRISPLD1,2.4382927,3.3526535,2.421039,0.93161434,,,,2.8954731017089843
APCDD1L,2.7168794,3.0249593,,2.145523,,,,2.8709193628952026
PLVAP,2.4539397,3.260889,,2.7822435,,,,2.857414376672363
ANOS1,2.97328,2.57262,,1.2969341,,,,2.7729499575042724
HMCN2,3.3964381,1.8460685,1.2424346,0.6036338,,,,2.6212533007362366
ALDH1A3,2.2036734,2.7358785,,1.621168,,,4.334531,2.469775933779907
ADGRL4,2.7712083,2.0068564,,1.4016597,,,,2.389032370748901
MMP23B,2.2179062,2.4878316,2.395144,,,,,2.352868896279907
CD93,2.3624933,2.3070805,,1.9008636,,,,2.3347869036392215
COL7A1,3.0855644,1.5126195,1.6976911,,,0.8075685,,2.299091947695923
NPTX2,3.4629362,1.0361049,,0.9094328,,,,2.2495205587631224
CMTM8,2.6857555,1.7683978,2.317912,,,,,2.2270766540374756
SLC36A1,2.4073675,1.7708338,,0.70038813,,,,2.0891006749534604
RGS3,3.0162477,1.1500744,2.0395865,,,0.59613013,,2.083161031377411
CHSY3,2.626929,1.5321945,,,,,,2.0795617476005557
HOXD9,2.4781916,1.4687221,,,,,,1.9734568525131226
ESAM,2.2987082,1.5155566,,1.1693871,,,,1.907132386933899
NEDD9,2.6057189,1.1973258,,1.0045571,,,,1.9015223628456115
KCTD15,2.2864988,1.4712582,,,,,,1.8788784817260742
LIMK1,2.0588145,1.619037,,,,,,1.8389257660636902
ZMAT3,2.0932844,1.524368,,1.3721249,,,,1.8088262238571167
DUOX1,2.0465786,1.3771672,,,,,,1.7118729124420167
