gene,score,logfc,pval,padj,pct_grp,pct_ref,delta_pct,secreted,membrane,target_score
MMP14,27.74142,1.6342003,2.211511620663201e-169,1.513666872118417e-166,0.9446564885496184,0.6623067776456599,0.28234971090395844,False,True,1.543757949621623
TNFRSF12A,25.496511,1.7319816,2.1548804609578883e-143,9.148149480962742e-141,0.8320610687022901,0.4715814506539834,0.36047961804830675,False,True,1.4411144902687947
LGR4,24.164364,1.938786,5.27448662043403e-129,1.62289662638639e-126,0.7204198473282443,0.28632580261593343,0.43409404471231083,False,True,1.3967399356019405
PLOD2,23.394983,1.8375144,4.806871320861193e-121,1.3001036319277636e-118,0.7156488549618321,0.30083234244946494,0.4148165125123671,False,True,1.3150150766809479
TPM1,24.004604,1.3842152,2.489361512497062e-127,7.521460036587969e-125,0.9360687022900763,0.7486325802615933,0.18743612202848303,False,True,1.2957205593813466
LRRC15,23.397362,1.4671153,4.5461700089754835e-121,1.2395890224473152e-118,0.8606870229007634,0.4615933412604043,0.3990936816403591,False,True,1.262727085188145
MICAL2,18.3127,2.7480557,6.553756111141958e-75,8.201487778189514e-73,0.44274809160305345,0.08014268727705114,0.3626054043260023,False,True,1.216696415238708
SLC16A3,20.98928,1.9999342,8.217964914991503e-98,1.51436322702739e-95,0.5982824427480916,0.1947681331747919,0.4035143095732997,False,True,1.1965255164008104
ITGA10,17.92814,2.7441208,7.111765092101241e-72,8.224633712375565e-70,0.4312977099236641,0.0732461355529132,0.3580515743707509,False,True,1.1835330324318574
SSR3,26.133907,1.2577276,1.5018763979227948e-150,7.299989946889086e-148,0.9293893129770993,0.7020214030915577,0.22736790988554156,False,True,1.16891861143913
TMEM208,23.857662,1.3171203,8.432029192923394e-126,2.502596416568715e-123,0.8759541984732825,0.5771700356718192,0.29878416280146325,False,True,1.153737068631267
RCN3,25.258211,1.1531776,9.201476966349087e-141,3.547116488476042e-138,0.9723282442748091,0.8178359096313912,0.15449233464341794,False,True,1.1212671696002245
GJA1,21.266579,1.1843101,2.3156464781810793e-100,4.4378372334421164e-98,0.9227099236641222,0.7112960760998811,0.2114138475642411,False,True,1.092774662238951
LRRN3,17.95521,2.2453277,4.369275451026216e-72,5.0880819471012926e-70,0.47900763358778625,0.12532699167657552,0.35368064191121074,False,True,1.0755291135256526
ST6GAL2,12.316281,4.074527,7.402961718135375e-35,3.5672489957302326e-33,0.2633587786259542,0.01807372175980975,0.24528505686614444,False,True,1.0730623980514875
TSPAN13,19.989273,1.4046977,6.828394745837889e-89,1.0957449903632111e-86,0.7538167938931297,0.3845422116527943,0.36927458224033544,False,True,1.058884683911127
ARHGAP1,20.551462,1.3735474,7.468088323676378e-94,1.3045038864555123e-91,0.7643129770992366,0.40190249702734837,0.36241048007188825,False,True,1.049820129084223
TTYH3,19.91089,1.5495484,3.2744525746664817e-88,5.131709834073106e-86,0.6765267175572519,0.2972651605231867,0.3792615570340652,False,True,1.048310884310089
CKAP4,22.72279,1.1630101,2.6671622540509826e-114,6.529291071267289e-112,0.8998091603053435,0.687039239001189,0.2127699213041545,False,True,1.0464871598564032
PLPP4,19.309612,1.7267001,4.459051590693803e-83,6.390926164473879e-81,0.5944656488549618,0.21284185493460167,0.3816237939203601,False,True,1.0264638760162672
GJB2,13.226832,3.499405,6.142218856345613e-40,3.377012065641298e-38,0.2929389312977099,0.02901307966706302,0.2639258516306469,False,True,1.025111933700911
ITGB1,26.861092,1.050092,6.259294822285233e-159,3.558037792369528e-156,0.9704198473282443,0.9079667063020214,0.0624531410262229,False,True,1.019030100744189
TMEM45A,20.924911,1.192966,3.1765850172197076e-97,5.758719367973759e-95,0.8540076335877863,0.5674197384066587,0.2865878951811276,False,True,1.0188020572407555
