gene,Deng:KeloidC3_MFB_vs_NSfib,Direder:Keloid_vs_Healthy,Direder:Keloid_vs_NormalScar,Direder:NormalScar_vs_Healthy,Wound:D7_vs_Skin,Wound:D30_vs_Skin,Wound:D7_FBI_vs_Skin,mean_active
ADAM12,7.5087366,5.0397463,3.4295208,1.6102257,5.732085,6.854187,6.6762843,6.620410913983154
SPOCD1,4.633696,,,,7.178639,5.8760133,7.39254,5.906167467544556
BCAT1,5.157004,2.721298,2.2233226,,6.048611,5.1697407,6.4783583,5.602807582046509
DIAPH3,4.525863,,,,5.3728538,,,4.949358377975464
P4HA3,5.4670134,3.6366906,2.9142017,0.7224888,4.067093,4.169149,4.7723365,4.767053147753906
TK1,3.201317,,,,6.1794004,,6.015515,4.690358722015381
BAALC,3.1673918,,,,6.109839,,6.218916,4.638615381277466
MKI67,3.4382453,,,,5.2784104,,,4.35832786736145
ADAMTS6,5.505511,3.2808554,2.386261,0.89459455,3.1668046,3.9422283,3.3380213,4.336157776039124
POSTN,7.073833,3.9597528,4.1818757,,1.5164498,4.4592032,2.7058096,4.295141404537201
ARSI,4.530304,,,,3.7717206,3.2963192,4.1163263,4.151012323905945
FOXM1,2.80066,,,,5.4682198,,5.230435,4.134439878540039
SDC1,5.0421796,3.2456264,2.9144928,0.33113366,3.010888,4.618057,3.4276397,4.0265338498352055
TPX2,3.024659,,,,4.937897,,4.4925833,3.9812781026763915
COL8A1,4.297413,3.5735686,3.4326568,,3.5950155,5.0885053,4.322481,3.9462142629089354
MICAL2,4.4053774,1.3506889,2.572931,,3.3893924,3.1720295,3.7988079,3.8973848879730224
RRM2,2.4345973,,,,5.3420024,,,3.888299845907593
TNC,4.323515,2.5017476,3.4396796,,3.3516128,3.415185,4.035361,3.8375639031600954
SPHK1,2.8599005,1.7432702,1.7019103,,4.794924,2.803557,5.287615,3.8274121411743165
WNT2,3.968386,2.08259,2.2604253,,3.6553845,3.2995405,4.3675194,3.811885270278931
MELK,2.3148735,,,,5.270968,,,3.792920730178833
NT5DC2,3.5177453,2.9655986,2.6638255,0.30177307,4.026711,3.9983795,4.5992126,3.772228143545532
RAC3,4.504811,3.6526492,3.8943145,,2.9629264,3.7584481,3.5751436,3.7338686938934327
ADAM19,3.700038,,,,3.6332333,3.227228,3.898312,3.666635654396057
PPP1R14B,2.2313578,1.625778,2.527792,,4.9971313,2.2747684,5.4259586,3.614244573828125
TAGLN,3.5707016,3.5552661,3.9800248,,3.5578494,3.8147783,4.2228427,3.5642755035980223
CTHRC1,3.4510436,4.040203,3.4971335,0.5430696,3.6490371,3.918136,4.558163,3.5500403613632203
TYMS,2.500252,,,0.8910055,4.59471,,3.9336092,3.5474809365997313
SULF1,4.136564,2.9508402,1.4035217,1.5473186,2.9297752,3.8676789,3.3446593,3.5331696190185546
MYBL2,2.1172097,,,,4.9361277,,,3.5266686813293457
METRN,3.2186356,2.0210145,2.917049,,3.7905912,1.9132191,4.051941,3.5046134199645995
LINC01060,2.862434,,,,3.9724808,,4.3276544,3.417457386962891
RUNX2,3.448413,3.490737,2.6252768,0.86546016,3.3490152,3.6149707,4.097002,3.3987141179504397
C4orf48,2.2973855,1.9869734,1.5927949,0.3941786,4.412554,,4.738373,3.3549696436157226
MIR503HG,3.3781233,4.0344243,2.005288,2.0291364,3.1936543,4.1600156,3.9668665,3.2858887993911745
PLOD2,3.3477669,3.1233885,2.645272,0.47811672,3.135779,2.9478743,3.621735,3.2417729019805908
TRIM59,3.0610738,,,,3.3768058,4.9927535,3.620576,3.2189397911590576
ZNF469,4.795557,2.3468301,2.5148022,,1.6356782,3.5555055,2.188485,3.2156175860557554
LIMD2,3.2613776,1.1939511,,,3.13332,3.100569,3.5348396,3.1973488465774533
PDLIM7,3.3512945,2.5050554,2.2370944,,2.7784648,3.196322,3.329123,3.0648796470794677
C1QTNF6,3.2579064,2.8167589,1.654313,1.1624458,2.867676,3.977544,3.5245564,3.0627912098342893
GPC6,3.1307337,3.987628,2.3913429,1.5962851,2.969338,3.024001,3.5969996,3.0500358201080324
KIF26B,3.958878,1.719901,3.1730769,,2.0495245,3.2145042,2.7668927,3.004201272834778
INHBA,2.719993,2.0761406,1.403557,0.6725837,3.2818582,1.8395365,3.5451975,3.0009256028976443
SLC16A3,3.2740104,2.1953347,2.2852366,,2.7060962,2.9690754,2.7958238,2.9900532861663818
BNC2,2.2607923,3.0705602,0.83616894,2.2343915,3.6666288,3.6283107,4.2744017,2.9637105687927248
SULF2,3.6009495,2.5498495,2.4233665,,2.3144703,3.5358174,3.089458,2.957709895568848
NREP,4.052098,3.12684,1.7599242,1.3669161,1.7233284,2.7301347,2.2905502,2.8877131759872436
COTL1,2.159645,1.6543704,1.3580387,0.2963318,3.3867335,1.2994227,3.6200287,2.773189265975952
LOXL2,3.9495792,1.9615142,2.3012261,,1.5936207,1.3934598,2.0133848,2.771599928960419
DOK5,2.5511203,1.8114588,,0.68199176,2.9286628,3.2217975,3.2362947,2.7398915384735107
TPM2,2.6058357,2.3890843,2.9838889,,2.8678625,2.0410278,3.4862773,2.7368490814987183
LGR4,3.8043897,2.1093116,2.0101056,,1.650113,2.0695524,2.315744,2.727251343282318
MDK,3.6316526,4.6739345,3.8453684,0.82856613,1.7977489,4.91546,2.385988,2.7147007616508483
FAP,2.901847,2.8605964,2.488423,0.37217325,2.4936824,3.6697924,3.073552,2.6977646922454834
ABRACL,2.8022187,1.3543814,1.867343,,2.5076995,2.7071228,2.822769,2.654959094796753
IDH2,2.4691586,2.3897142,2.631884,,2.8291554,2.5679953,3.300767,2.6491570225494385
EEF1AKMT4,2.5229104,,,,2.7591853,,3.1277552,2.6410478570892337
TSPAN13,3.370422,4.0138655,2.7064822,1.3073835,1.8831875,4.2683945,2.4579043,2.626804766212463
NRP2,2.5970488,1.8216382,2.0687811,,2.5908628,2.7348945,2.9700077,2.59395577550354
EVA1A,2.067464,,,,3.1161785,,3.188758,2.591821256286621
PYCR1,2.4863105,2.8481266,2.6678693,,2.6881912,3.743306,3.4187696,2.5872508377304078
ARHGAP28,3.148809,2.6251426,1.6229919,1.0021507,2.003256,2.9351237,2.6921942,2.576032541267395
RASAL2,2.8027072,1.5008384,0.79741037,0.7034281,2.2499952,2.541643,2.652508,2.526351215814209
MIR155HG,2.4528315,3.1309302,,1.3646872,2.5835037,,3.1260934,2.5181676115722658
FN1,3.8693616,2.512969,2.545209,,1.1617355,2.4313354,1.8477914,2.515548567333984
COL1A1,3.7162416,4.2041273,2.96253,1.2415975,1.2837899,3.2325654,2.2430124,2.5000157365615845
COL5A2,3.343721,3.251045,2.428573,0.8224721,1.6516895,2.9575546,2.4239917,2.497705264709473
TGFBI,3.1476061,1.4498289,2.14383,,1.8435634,1.7624054,2.4820604,2.4955847687309265
DCBLD1,2.179533,,,,2.798891,,3.0370874,2.4892120337524415
PAPSS2,2.333395,2.2790704,1.290623,0.9884475,2.6247315,2.3343508,2.9700904,2.4790632703399655
MTFP1,2.69956,,,,2.2348404,2.0443926,2.3355174,2.467200196533203
CHPF,2.8004017,2.4091225,1.8464928,0.56262976,2.1287274,2.7038674,2.5368395,2.464564568032837
BMP1,2.7182975,2.6281157,1.2871546,1.3409611,2.1644144,2.9079263,2.65908,2.441355952911377
FABP5,2.8114538,1.4297061,1.7334433,,2.0469596,2.6043656,2.075885,2.4292067192977904
MFSD12,2.1558757,0.81975085,,,2.6287086,1.4056171,2.8732655,2.3922921504989625
GOLM1,2.8687828,2.9958558,2.8091164,0.1867393,1.9049319,2.5538898,2.3346732,2.3868573514427185
IMPDH1,2.5812607,1.7444751,1.8018819,,2.0734072,2.2365394,2.3816097,2.327333936578369
ISOC2,2.1080163,1.8430117,2.0517614,,2.5037806,3.1668139,2.9086392,2.3058984517044068
BGN,3.422065,2.820643,2.1766014,0.6440415,1.1789008,2.51435,1.6826922,2.300482918949127
RGS17,2.0492847,,,,2.5359075,,2.9308581,2.292596103471374
