dataset,condition,sample,hallmark,score
Deng,Keloid,KL1,Apoptosis,0.38274783577612265
Deng,Keloid,KL1,Complement,0.2173248253270445
Deng,Keloid,KL1,EMT,0.6036767106553611
Deng,Keloid,KL1,Glycolysis,0.11630867243446948
Deng,Keloid,KL1,Hedgehog,0.04453103711034994
Deng,Keloid,KL1,Hypoxia,0.2825918856131384
Deng,Keloid,KL1,Inflammatory,0.09356166605823338
Deng,Keloid,KL1,Myogenesis (MFB),0.19297913263828564
Deng,Keloid,KL1,OxPhos,0.25977270242395467
Deng,Keloid,KL1,TGF-β,0.2937999016316002
Deng,Keloid,KL1,Wnt-βcat,0.005065259206290789
Deng,Keloid,KL2,Apoptosis,0.3822774410495848
Deng,Keloid,KL2,Complement,0.21202790882194225
Deng,Keloid,KL2,EMT,0.6913253784135066
Deng,Keloid,KL2,Glycolysis,0.13204003702103342
Deng,Keloid,KL2,Hedgehog,0.0633872045084789
Deng,Keloid,KL2,Hypoxia,0.3001233365677363
Deng,Keloid,KL2,Inflammatory,0.10806360504476806
Deng,Keloid,KL2,Myogenesis (MFB),0.2026034505105992
Deng,Keloid,KL2,OxPhos,0.24635170383465402
Deng,Keloid,KL2,TGF-β,0.3203769309085747
Deng,Keloid,KL2,Wnt-βcat,0.030156237721709552
Deng,Keloid,KL3,Apoptosis,0.33843590805755996
Deng,Keloid,KL3,Complement,0.2052760670264938
Deng,Keloid,KL3,EMT,0.708600101129228
Deng,Keloid,KL3,Glycolysis,0.14057990298448783
Deng,Keloid,KL3,Hedgehog,0.0508319780699746
Deng,Keloid,KL3,Hypoxia,0.2797212286985076
Deng,Keloid,KL3,Inflammatory,0.08391739393853163
Deng,Keloid,KL3,Myogenesis (MFB),0.18589881230856875
Deng,Keloid,KL3,OxPhos,0.3050481791048271
Deng,Keloid,KL3,TGF-β,0.2831788316283454
Deng,Keloid,KL3,Wnt-βcat,0.0054971215173763716
Deng,Normal scar,NS1,Apoptosis,0.4014477344794404
Deng,Normal scar,NS1,Complement,0.25076200020953937
Deng,Normal scar,NS1,EMT,0.5856038115852761
Deng,Normal scar,NS1,Glycolysis,0.12584911337497404
Deng,Normal scar,NS1,Hedgehog,0.03283534701868813
Deng,Normal scar,NS1,Hypoxia,0.3168527939153297
Deng,Normal scar,NS1,Inflammatory,0.11982429048000103
Deng,Normal scar,NS1,Myogenesis (MFB),0.19402875260670965
Deng,Normal scar,NS1,OxPhos,0.260528623970121
Deng,Normal scar,NS1,TGF-β,0.2879983496303099
Deng,Normal scar,NS1,Wnt-βcat,0.006645187200150874
Deng,Normal scar,NS2,Apoptosis,0.4222059107266189
Deng,Normal scar,NS2,Complement,0.21985475047061478
Deng,Normal scar,NS2,EMT,0.4951770085430089
Deng,Normal scar,NS2,Glycolysis,0.10938157313556789
Deng,Normal scar,NS2,Hedgehog,0.027206053794203107
Deng,Normal scar,NS2,Hypoxia,0.3177058067377463
Deng,Normal scar,NS2,Inflammatory,0.11262991547448759
Deng,Normal scar,NS2,Myogenesis (MFB),0.19011640771069618
Deng,Normal scar,NS2,OxPhos,0.24544585248874554
Deng,Normal scar,NS2,TGF-β,0.33754449108803786
Deng,Normal scar,NS2,Wnt-βcat,0.017462942373754734
Deng,Normal scar,NS3,Apoptosis,0.3694117110799806
Deng,Normal scar,NS3,Complement,0.19972230731114585
Deng,Normal scar,NS3,EMT,0.4160753483990064
Deng,Normal scar,NS3,Glycolysis,0.09060822431641166
Deng,Normal scar,NS3,Hedgehog,0.01580756915328055
Deng,Normal scar,NS3,Hypoxia,0.26392740271109133
Deng,Normal scar,NS3,Inflammatory,0.08391009508915175
Deng,Normal scar,NS3,Myogenesis (MFB),0.16711056298096
Deng,Normal scar,NS3,OxPhos,0.2360513156160401
Deng,Normal scar,NS3,TGF-β,0.30613751042061593
Deng,Normal scar,NS3,Wnt-βcat,0.009789175209862869
Direder,Healthy skin,skin_7,Apoptosis,0.2854225479784127
Direder,Healthy skin,skin_7,Complement,0.1254593347600969
