source,target,ligand_complex,receptor_complex,rank_keloid,lrm_keloid,rank_healthy,lrm_healthy,delta_rank,lr_label
Fibroblast,Keratinocyte,MFGE8,ITGB5,0.009140143166886742,0.18174276,,,0.9908598568331133,Fibroblast → Keratinocyte: MFGE8 ↔ ITGB5
Fibroblast,Keratinocyte,LTBP3,ITGB5,0.012182726188292168,0.18262288,,,0.9878172738117078,Fibroblast → Keratinocyte: LTBP3 ↔ ITGB5
Fibroblast,Keratinocyte,SFRP1,FZD6,0.021298094094104943,0.1936953,,,0.978701905905895,Fibroblast → Keratinocyte: SFRP1 ↔ FZD6
Fibroblast,Keratinocyte,SERPINE1,ITGB5,0.024332425690848713,0.1895406,,,0.9756675743091513,Fibroblast → Keratinocyte: SERPINE1 ↔ ITGB5
Fibroblast,Keratinocyte,TXLNA,STX4,0.027364695920746716,0.1859346,,,0.9726353040792532,Fibroblast → Keratinocyte: TXLNA ↔ STX4
Keratinocyte,Fibroblast,MXRA5,AXL,0.030394905484229538,0.19343212,,,0.9696050945157705,Keratinocyte → Fibroblast: MXRA5 ↔ AXL
Fibroblast,Myeloid,COL1A1,CD93,0.03908709189308325,2.9624877,,,0.9609129081069168,Fibroblast → Myeloid: COL1A1 ↔ CD93
Fibroblast,Myeloid,COL1A2,CD93,0.048379784012659105,2.7300298,,,0.9516202159873409,Fibroblast → Myeloid: COL1A2 ↔ CD93
Fibroblast,Keratinocyte,FN1,SDC1,0.053153526813022545,1.5113623,1.0,0.69909084,0.9468464731869775,Fibroblast → Keratinocyte: FN1 ↔ SDC1
Fibroblast,Fibroblast,COL1A1,SDC1,0.05757417300077884,2.9313262,,,0.9424258269992212,Fibroblast → Fibroblast: COL1A1 ↔ SDC1
Fibroblast,Endothelial,COL1A1,ITGA2_ITGB1,0.0605838144266133,2.923419,,,0.9394161855733867,Fibroblast → Endothelial: COL1A1 ↔ ITGA2_ITGB1
Fibroblast,Myeloid,TXLNA,STX4,0.0605838144266133,0.19767463,,,0.9394161855733867,Fibroblast → Myeloid: TXLNA ↔ STX4
Endothelial,Fibroblast,ADAM10,CADM1,0.07560123289871401,0.20039003,,,0.924398767101286,Endothelial → Fibroblast: ADAM10 ↔ CADM1
Fibroblast,Keratinocyte,TGFB3,ITGB5,0.07859856706656021,0.20880541,,,0.9214014329334398,Fibroblast → Keratinocyte: TGFB3 ↔ ITGB5
Fibroblast,Endothelial,LAMA2,ITGA2_ITGB1,0.08458708982538857,0.20175907,,,0.9154129101746115,Fibroblast → Endothelial: LAMA2 ↔ ITGA2_ITGB1
Fibroblast,Fibroblast,COL1A2,SDC1,0.08458708982538857,2.6988683,,,0.9154129101746115,Fibroblast → Fibroblast: COL1A2 ↔ SDC1
Endothelial,Fibroblast,LAMA5,SDC1,0.08757827981723187,0.20251405,,,0.9124217201827681,Endothelial → Fibroblast: LAMA5 ↔ SDC1
Fibroblast,Endothelial,COL1A2,ITGA2_ITGB1,0.08757827981723187,2.6909611,,,0.9124217201827681,Fibroblast → Endothelial: COL1A2 ↔ ITGA2_ITGB1
Keratinocyte,Fibroblast,THBS2,SDC1,0.09653957264764526,0.2032983,,,0.9034604273523548,Keratinocyte → Fibroblast: THBS2 ↔ SDC1
Fibroblast,Endothelial,LAMA2,ITGA6_ITGB4,0.09952258021084617,0.20277089,1.0,0.36084333,0.9004774197891539,Fibroblast → Endothelial: LAMA2 ↔ ITGA6_ITGB4
Fibroblast,Endothelial,COL3A1,ITGA2_ITGB1,0.10250354391796292,2.5827606,,,0.8974964560820371,Fibroblast → Endothelial: COL3A1 ↔ ITGA2_ITGB1
Fibroblast,Fibroblast,SPTAN1,PTPRA,0.10548246446942611,0.20494077,1.0,0.32895985,0.8945175355305739,Fibroblast → Fibroblast: SPTAN1 ↔ PTPRA
Endothelial,Fibroblast,BGN,LY96,0.1084593425656663,0.20373465,,,0.8915406574343336,Endothelial → Fibroblast: BGN ↔ LY96
Fibroblast,Fibroblast,TNXB,SDC1,0.11143417890711407,0.20448186,,,0.888565821092886,Fibroblast → Fibroblast: TNXB ↔ SDC1
Fibroblast,Keratinocyte,MDK,NCL,0.11979943960080691,1.277539,,,0.8802005603991931,Fibroblast → Keratinocyte: MDK ↔ NCL
