source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank,condition
Fibroblast,Pericyte_SMC,LGALS1,ITGB1,2.5366402,0.0,5.6084423,0.7457298879873953,1.505640012111705,0.090408616,0.9694785,0.0783536887167958,0.0013285032471557316,Keloid
Fibroblast,Fibroblast,LGALS1,ITGB1,2.4932902,0.0,5.309714,0.7115673345344846,1.2933778923698427,0.085593075,0.9686582,0.09321812913643313,0.0016386332642155535,Keloid
Fibroblast,Endothelial,LGALS1,ITGB1,2.2226307,0.0,3.444578,0.4982688781398529,0.8833594914137266,0.055526912,0.96137965,0.3928468953313415,0.0032000058932636034,Keloid
Fibroblast,Pericyte_SMC,LUM,ITGB1,2.1675792,0.0,4.406973,0.9478459638363594,2.071394599855754,0.16185662,0.96570253,0.013451138504584946,0.003917071443995352,Keloid
Fibroblast,Fibroblast,LUM,ITGB1,2.1242292,0.0,4.1722393,0.9136834103834486,1.8591324801138915,0.15323548,0.96478444,0.035169198897074795,0.004705421203592114,Keloid
Pericyte_SMC,Pericyte_SMC,LGALS1,ITGB1,2.09808,0.0,4.180719,0.48749162059936113,0.8308268946825932,0.06739358,0.9648189,0.2230384604486006,0.005126232709959412,Keloid
Pericyte_SMC,Fibroblast,LGALS1,ITGB1,2.05473,0.0,3.9580367,0.4533290671464504,0.6185647749407308,0.06380392,0.96387804,0.2663113552529941,0.006020941401708935,Keloid
Fibroblast,T_cell,LGALS1,ITGB1,2.0807765,0.0,2.4670477,0.3864774822495492,0.7655933052448813,0.03976904,0.9546831,0.5990480457864074,0.00912702255218778,Keloid
Fibroblast,Endothelial,LUM,ITGB1,1.85357,0.0,2.7066627,0.700384953988817,1.4491140791577755,0.09940866,0.9566465,0.07762764502292402,0.014241732961232352,Keloid
Myeloid,Keratinocyte,TGFB1,ITGB5,0.1865221,0.0,0.033380967,0.04098633409649468,-0.01661739403420892,0.034924783,0.7101895,1.0,0.015223246086738699,Keloid
Pericyte_SMC,Endothelial,LGALS1,ITGB1,1.7840705,0.0,2.5677028,0.24003061075181872,0.20854637398461473,0.041391604,0.95554036,0.8371924461828074,0.017732025932100708,Keloid
Fibroblast,Myeloid,LGALS1,ITGB1,2.018106,0.0,2.0351803,0.33708883962680486,0.5232449139610794,0.032807294,0.9503334,0.679226093343402,0.01826082101038801,Keloid
Myeloid,Pericyte_SMC,LGALS1,ITGB1,1.7751412,0.0,3.129399,0.2973346412309127,0.4430279430611519,0.0504462,0.9595582,0.5141967784325624,0.018528034572594755,Keloid
Myeloid,Fibroblast,LGALS1,ITGB1,1.7317913,0.0,2.9627144,0.26317208777800194,0.23076582331928952,0.047759227,0.95848274,0.603267696141286,0.023057708326871755,Keloid
Fibroblast,T_cell,LUM,ITGB1,1.7117156,0.0,1.9385439,0.5885935580985133,1.3313478929889302,0.071197666,0.94917274,0.1896351826762757,0.02550089160916246,Keloid
Fibroblast,Keratinocyte,FN1,CD44,1.7081945,0.0,2.4938226,0.7196897731343364,1.4043540126201588,0.12057687,0.95491606,0.07762764502292402,0.0258145961101991,Keloid
