source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank,condition
Fibroblast,Keratinocyte,COL1A1,CD44,3.350047,0.0,5.964569,0.8349408836434992,1.8579167661534215,0.09255287,0.9703763,0.04194136854852047,4.132071344787648e-06,Keloid
Fibroblast,T_cell,COL1A1,CD44,3.3202548,0.0,5.628324,0.807555468895342,2.0673855607249583,0.08733532,0.9695308,0.05938521651294878,9.295060299167198e-06,Keloid
Fibroblast,Keratinocyte,COL1A2,CD44,3.1175895,0.0,5.473171,0.8208289912450499,1.7901936869567017,0.09593172,0.9691152,0.048580472755179266,5.0560669693001755e-05,Keloid
Fibroblast,T_cell,COL1A2,CD44,3.087797,0.0,5.1646285,0.7934435764968928,1.9996624815282384,0.0905237,0.9682349,0.06476920216372757,8.354206660619856e-05,Keloid
Fibroblast,Myeloid,COL1A1,CD44,3.224907,0.0,4.552202,0.7199107648778424,1.8831843792709644,0.070637025,0.96623546,0.1545654514815892,0.00012474089811935303,Keloid
Fibroblast,Myeloid,COL1A2,CD44,2.992449,0.0,4.177164,0.7057988724793932,1.8154613000742446,0.07321579,0.9648045,0.16955299335085058,0.00026361578543131604,Keloid
Fibroblast,Endothelial,COL1A1,CD93,3.1813202,0.0,4.06027,1.0741833090310897,2.4519719976890815,0.23163407,0.9643194,0.0019846690751109198,0.0003334874482128405,Keloid
Fibroblast,Pericyte_SMC,COL1A1,CD44,3.18131,0.0,4.0601554,0.679836073625226,1.7413376241060414,0.06300188,0.96431893,0.2305832578710026,0.00037148661222279934,Keloid
Fibroblast,Keratinocyte,COL1A1,SDC1,3.153215,0.0,3.7430682,1.1104048810268154,2.323298747605302,0.2383068,0.9628932,0.004330246803618995,0.0007488148415139362,Keloid
Fibroblast,Endothelial,COL1A2,CD93,2.9488623,0.0,3.72576,1.0600714166326404,2.3842489184923616,0.2400904,0.9628103,0.0035138927335318427,0.0008051267543285451,Keloid
Fibroblast,Pericyte_SMC,COL1A2,CD44,2.948852,0.0,3.725655,0.6657241812267768,1.6736145449093216,0.0653019,0.96280986,0.2516986519541837,0.0008634664133278138,Keloid
Fibroblast,Endothelial,SPARC,ENG,2.6233578,0.0,4.014175,1.0435455994230718,2.2374453833266825,0.22364037,0.9641224,0.006471473201286695,0.0009862233664356913,Keloid
Fibroblast,Pericyte_SMC,LGALS1,ITGB1,2.5366402,0.0,5.6084423,0.7457298879873953,1.505640012111705,0.090408616,0.9694785,0.0783536887167958,0.0013285032471557316,Keloid
Fibroblast,Fibroblast,TIMP1,CD63,2.535562,0.0,6.4023905,0.868937813814397,1.6175133674160906,0.11318802,0.9713776,0.07762764502292402,0.0014030144446305183,Keloid
Endothelial,Keratinocyte,VIM,CD44,2.513028,0.0,4.1951766,0.49573677373608327,0.648870371919064,0.05909649,0.9648775,0.33373048934338373,0.0014795407805395237,Keloid
Fibroblast,Keratinocyte,COL1A2,SDC1,2.9207573,0.0,3.4346914,1.096292988628366,2.255575668408582,0.24700673,0.96132624,0.005711114991296671,0.0015580808540215894,Keloid
Fibroblast,Fibroblast,LGALS1,ITGB1,2.4932902,0.0,5.309714,0.7115673345344846,1.2933778923698427,0.085593075,0.9686582,0.09321812913643313,0.0016386332642155535,Keloid
Fibroblast,T_cell,LGALS1,PTPRC,2.4874334,0.0,5.2693553,1.1306176779961463,2.2727692769312355,0.21419193,0.96854216,0.005230058663362831,0.0017211963805866643,Keloid
Endothelial,T_cell,VIM,CD44,2.4832356,0.0,3.9586787,0.4683513589879261,0.8583391664906007,0.055765,0.9638809,0.38811242819565417,0.001805769256100001,Keloid
Fibroblast,T_cell,LGALS1,CD69,2.4158878,0.0,4.776327,1.2447317119924808,2.6213265795313587,0.29705814,0.9670107,0.0006158963048157152,0.0019809380086623215,Keloid
Endothelial,Myeloid,VIM,CD44,2.3878877,0.0,3.2017891,0.38070665497042655,0.6741379850366069,0.04510287,0.9599996,0.5990480457864074,0.0021641280908644366,Keloid
Fibroblast,Keratinocyte,VIM,CD44,2.3815737,0.0,3.9172928,0.41612008741482487,0.45278750423273895,0.055182006,0.96369743,0.4053592658210614,0.0021641280908644366,Keloid
Pericyte_SMC,Keratinocyte,VIM,CD44,2.3575861,0.0,3.866585,0.4015928938480824,0.4364658534515842,0.054467697,0.9634689,0.421166681746368,0.002258727628427517,Keloid
Fibroblast,T_cell,VIM,CD44,2.3517814,0.0,3.6964605,0.3887346726666677,0.6622562988042756,0.05207119,0.96266866,0.47574847428001565,0.002355328564056424,Keloid
Fibroblast,Pericyte_SMC,COL1A1,ITGA1_ITGB1,3.1004794,0.0,3.1478798,1.0400204181019248,2.4961883635473523,0.25008565,0.95967233,0.003322899426367823,0.002355328564056424,Keloid
Pericyte_SMC,T_cell,VIM,CD44,2.3277938,0.0,3.648611,0.37420747909992513,0.6459346480231208,0.05139715,0.9624339,0.49469252502413325,0.002554527137407445,Keloid
Endothelial,Myeloid,APP,CD74,2.2779055,0.0,3.4228976,1.0638723783137198,2.501987055795656,0.2065812,0.9612622,0.0018412150973860734,0.002761713956224519,Keloid
Keratinocyte,Keratinocyte,TLN1,ITGB5,0.1589126,1.0,0.02515453,-0.1192113255464708,-0.5143696919450162,0.013250021,0.6802303,1.0,0.0030487802503665223,Keloid
Fibroblast,Endothelial,LGALS1,ITGB1,2.2226307,0.0,3.444578,0.4982688781398529,0.8833594914137266,0.055526912,0.96137965,0.3928468953313415,0.0032000058932636034,Keloid
