source,target,ligand_complex,receptor_complex,magnitude_rank,specificity_rank
Fibroblast,Keratinocyte,COL1A1,CD44,4.132071344787648e-06,0.04194136854852047
Fibroblast,T_cell,COL1A1,CD44,9.295060299167198e-06,0.05938521651294878
Fibroblast,Keratinocyte,COL1A2,CD44,5.0560669693001755e-05,0.048580472755179266
Fibroblast,T_cell,COL1A2,CD44,8.354206660619856e-05,0.06476920216372757
Fibroblast,Myeloid,COL1A1,CD44,0.00012474089811935303,0.1545654514815892
Fibroblast,Myeloid,COL1A2,CD44,0.00026361578543131604,0.16955299335085058
Fibroblast,Endothelial,COL1A1,CD93,0.0003334874482128405,0.0019846690751109198
Fibroblast,Pericyte_SMC,COL1A1,CD44,0.00037148661222279934,0.2305832578710026
Fibroblast,Keratinocyte,COL1A1,SDC1,0.0007488148415139362,0.004330246803618995
Fibroblast,Endothelial,COL1A2,CD93,0.0008051267543285451,0.0035138927335318427
Fibroblast,Pericyte_SMC,COL1A2,CD44,0.0008634664133278138,0.2516986519541837
Fibroblast,Endothelial,SPARC,ENG,0.0009862233664356913,0.006471473201286695
Fibroblast,Pericyte_SMC,LGALS1,ITGB1,0.0013285032471557316,0.0783536887167958
Fibroblast,Fibroblast,TIMP1,CD63,0.0014030144446305183,0.07762764502292402
Endothelial,Keratinocyte,VIM,CD44,0.0014795407805395237,0.33373048934338373
Fibroblast,Keratinocyte,COL1A2,SDC1,0.0015580808540215894,0.005711114991296671
Fibroblast,Fibroblast,LGALS1,ITGB1,0.0016386332642155535,0.09321812913643313
Fibroblast,T_cell,LGALS1,PTPRC,0.0017211963805866643,0.005230058663362831
Endothelial,T_cell,VIM,CD44,0.001805769256100001,0.38811242819565417
Fibroblast,T_cell,LGALS1,CD69,0.0019809380086623215,0.0006158963048157152
Endothelial,Myeloid,VIM,CD44,0.0021641280908644366,0.5990480457864074
Fibroblast,Keratinocyte,VIM,CD44,0.0021641280908644366,0.4053592658210614
Pericyte_SMC,Keratinocyte,VIM,CD44,0.002258727628427517,0.421166681746368
Fibroblast,T_cell,VIM,CD44,0.002355328564056424,0.47574847428001565
Fibroblast,Pericyte_SMC,COL1A1,ITGA1_ITGB1,0.002355328564056424,0.003322899426367823
Pericyte_SMC,T_cell,VIM,CD44,0.002554527137407445,0.49469252502413325
Endothelial,Myeloid,APP,CD74,0.002761713956224519,0.0018412150973860734
Keratinocyte,Keratinocyte,TLN1,ITGB5,0.0030487802503665223,1.0
Fibroblast,Endothelial,LGALS1,ITGB1,0.0032000058932636034,0.3928468953313415
Fibroblast,Myeloid,VIM,CD44,0.003549609559357226,0.7865471770982011
Fibroblast,Keratinocyte,COL6A1,CD44,0.003792602394261977,0.07762764502292402
Pericyte_SMC,Myeloid,VIM,CD44,0.003917071443995352,0.8288352123838211
Fibroblast,Pericyte_SMC,LUM,ITGB1,0.003917071443995352,0.013451138504584946
Pericyte_SMC,Fibroblast,TIMP1,CD63,0.004043521300247635,0.13294295681774956
Fibroblast,Pericyte_SMC,TIMP1,CD63,0.004171949172061646,0.112690772698279
Pericyte_SMC,Keratinocyte,COL1A1,CD44,0.00430235434819763,1.0
Fibroblast,Pericyte_SMC,COL1A2,ITGA1_ITGB1,0.00430235434819763,0.004118315817569731
Fibroblast,T_cell,COL6A1,CD44,0.004569091753970784,0.07702468035806435
Endothelial,Pericyte_SMC,VIM,CD44,0.004705421203592114,0.6626331841452971
Fibroblast,Fibroblast,LUM,ITGB1,0.004705421203592114,0.035169198897074795
