gene,k_mean,n_mean,delta,log_ratio,specificity,cohens_d,zsum,borda_rank
ADAM12,1.2147763,0.0636156,1.1511607,4.2338514,0.9502378,0.8107297,16.767841,1
ASPN,3.97283,0.52299094,3.449839,2.9229164,0.88367176,1.1564054,32.783176,2
POSTN,1.7765609,0.27464035,1.5019206,2.6890402,0.8661075,0.9515979,16.851295,3
PRSS23,1.0134636,0.14706534,0.8663983,2.7764113,0.87327737,0.8490283,11.940689,4
COL8A1,0.5752138,0.05233468,0.5228791,3.4334583,0.9166046,0.55512965,10.356718,5
THBS4,0.6927671,0.08901452,0.60375255,2.9462216,0.88613886,0.47653356,10.145931,6
TNC,1.6432613,0.2964654,1.3467959,2.466646,0.84716123,0.56352466,15.224884,7
SCX,0.41597393,0.04248827,0.37348565,3.2612588,0.9073244,0.4369357,8.864077,8
CTHRC1,3.7352614,0.8085911,2.9266703,2.20633,0.8220472,1.4707676,27.35671,9
COL11A1,0.34522465,0.034829166,0.31039548,3.2725022,0.90835726,0.5369579,8.381098,10
TSPAN13,0.41787213,0.0664617,0.35141045,2.6343694,0.8627771,0.50170267,7.5878553,11
EGFL6,0.24877319,0.017308619,0.23146456,3.7700238,0.93495,0.3271265,8.625416,12
LAMP5,0.19493599,0.003196617,0.19173938,5.545012,0.9838663,0.4090108,11.424353,13
FAP,1.5054139,0.36771584,1.137698,2.030537,0.80368906,0.7536106,12.793291,14
COMP,0.41799438,0.0724395,0.3455549,2.5123026,0.8522951,0.7080612,7.326945,15
SULF1,0.35181043,0.06240573,0.2894047,2.476208,0.8493402,0.3842932,6.816176,16
TAGLN,0.49333677,0.103007115,0.39032966,2.248812,0.82726896,0.47221088,7.2212377,16
PPIC,0.70950365,0.18335867,0.526145,1.9463269,0.79463947,0.91511977,7.7725153,18
C1QTNF6,0.25499398,0.045826845,0.20916712,2.450702,0.84766066,0.52271914,6.1320596,19
SULF2,0.30097154,0.057597913,0.24337363,2.3654914,0.8393675,0.48260126,6.255061,20
SFRP4,0.7453452,0.19764517,0.5477,1.9096493,0.7904059,0.5502034,7.8798923,20
LRRN1,0.23640668,0.03880314,0.19760354,2.5764065,0.8590053,0.28137308,6.2605567,22
TNFRSF12A,0.46837845,0.11561969,0.35275877,2.0089402,0.80202043,0.5577647,6.50084,23
METRN,0.33109865,0.071445405,0.25965324,2.1966457,0.8225153,0.5014103,6.088421,24
BGN,6.2470145,1.9474176,4.299597,1.6810948,0.76234865,0.85304,37.37455,25
PDLIM7,0.32202452,0.07255401,0.24947052,2.1347678,0.81612283,0.37840927,5.898674,26
MMP11,0.34590575,0.083524734,0.26238102,2.0370982,0.80549884,0.2896709,5.8301163,27
GALNT5,0.22722629,0.043911986,0.1833143,2.3452926,0.8380458,0.36192146,5.741044,28
MDK,0.8343275,0.24914244,0.58518505,1.7395921,0.77005136,0.92850053,7.8800945,29
NREP,0.19972458,0.03746871,0.16225588,2.38346,0.842033,0.5640881,5.6402383,30
MMP23B,2.1886284,0.7082869,1.4803416,1.6262449,0.75550306,0.6813558,14.813921,31
CADM1,0.24665381,0.055517018,0.19113679,2.1315677,0.8162728,0.34429604,5.428243,32
TPM2,0.7482933,0.23156367,0.5167296,1.6879047,0.76367605,0.5343861,7.243906,33
CLEC11A,0.80138224,0.2539654,0.5474168,1.6539882,0.75935376,0.7780302,7.4288974,34
LTBP2,0.43610087,0.12496006,0.3111408,1.795,0.777279,0.29949102,5.7937107,35
FN1,4.1574955,1.4260503,2.7314453,1.5430255,0.74459773,0.96045166,24.636883,36
COL5A1,5.896322,2.043451,3.8528707,1.5283464,0.7426311,0.9474802,33.546844,37
GPX7,0.24197459,0.059646636,0.18232796,2.002306,0.8022466,0.42456484,5.131171,38
COL5A2,5.807942,2.0218568,3.7860851,1.5218812,0.7417741,1.0743642,33.003338,39
NID2,0.6039004,0.19099717,0.4129032,1.6556125,0.759721,0.30858597,6.3599186,40
TNFRSF9,0.10300602,0.008974394,0.094031624,3.3822942,0.91985744,0.2204899,6.849777,41
GPX8,1.129232,0.38104054,0.7481915,1.5648215,0.7477008,0.5525864,8.872201,42
JCAD,0.20418327,0.04831175,0.15587151,2.0569098,0.80866253,0.24238709,5.0162024,43
NRP2,0.36129934,0.106015295,0.25528404,1.7593651,0.77313936,0.2712453,5.286087,44
LINC01116,0.3296064,0.09453818,0.23506823,1.7909653,0.7771086,0.30925298,5.1804686,45
KCNMA1,0.096608475,0.0074219713,0.089186504,3.5347764,0.9286558,0.30682042,7.078809,46
TPM1,0.8130834,0.27426612,0.5388173,1.5643495,0.7477664,0.560099,7.2030396,47
ST6GAL2,0.080209345,0.0023416302,0.07786772,4.6030216,0.97163415,0.17714839,8.863612,48
LOXL2,0.527206,0.17449759,0.3527084,1.5896494,0.7513229,0.34417737,5.764496,49
